FeatureIndex	FileName	MSLevel	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	FeatureQuantity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	Qscore2D	PerChargeIntensity	PerIsotopeIntensity
268	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	9106.350706	9111.977310	3	65.8588	67.1358	76.6156	65.8588	7.12555e+06	3.94215e+06	1.26173e+08	5	7	3	0.954829	0.996702521452567	14518.8;2.8714e+06;4.23964e+06	6007.51;49384.2;189891;474970;831868;1.14058e+06;1.30366e+06;1.23103e+06;1.05209e+06;314690;232056;150219;81020.4;46185.3;27911.8
269	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8828.246729	8833.709823	2	65.8588	65.8978	2.33667	65.8588	633355	555344	739972	5	7	3	0.945091	0.999630286966279	43709.9;429058;160587	0;3401.75;16836.5;41613.4;71071.2;90334.3;95548.3;93275.1;76058.7;56534.1;37997;22925.8;15119;9354.05;3286.27
270	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	9151.315279	9156.969796	2	65.8588	65.8978	2.33667	65.8588	292204	156569	341392	5	7	3	0.888428	0.963450741380555	22647.8;132619;136936	20100;19817;19524.1;18829.8;23682.4;27302.3;30769.1;33892.3;32267.2;28048.5;21722.8;12225.9;10681.1;6521.03;6920.26
271	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	9169.291950	9174.958196	2	65.8588	65.8978	2.33667	65.8588	266170	141956	310976	5	7	3	0.863043	0.871113794626922	21730.5;112559;131880	12137.3;13556.7;17753;23619.5;21906.7;18430.7;23607.5;24011.3;27151.8;23718.1;20611.2;16505.2;13188.2;14204.5;7905.57
272	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	9190.299752	9195.977721	2	65.8588	67.1358	76.6156	65.8588	93418.1	72481.6	3.57864e+06	7	7	1	0.934503	0.879040711193307	93418.1	2320.3;2936.45;4697.48;5275.31;10081.4;11416.7;11676.7;9002.19;7137.73;9470.22;6673.49;4999.14;4348.83;4245.92;1456.58
273	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	9091.341362	9096.967966	2	65.8588	65.8978	2.33667	65.8588	103538	71659.7	120968	6	7	2	0.970433	0.994468334665467	31878.6;71659.7	1949.99;0;6371.18;8537.54;11595.3;14893.4;13643.5;12138.2;13036;8464.54;5898.95;4255.8;2516.29;1069.59;1118.03
274	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8926.189760	8931.716064	3	65.8588	67.1358	76.6156	65.8588	102486	71569.9	1.2535e+06	5	7	3	0.945833	0.990037620961131	7659.63;63693.2;31132.8	2663.39;1974.83;5608.99;8737.29;10529.4;12161.2;11780.2;12499.6;10974.4;9190.91;7296.92;3858.32;5162.64;1866.98;843.991
275	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	9062.344005	9067.935665	2	65.8588	65.8978	2.33667	65.8588	42000.1	29218.2	49070.3	6	7	2	0.953082	0.952454587444068	12781.9;29218.2	0;1011.44;2733.84;3587.49;4859.37;5301.46;7241.82;5323.64;3377.42;5898.56;1859.28;805.831
276	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	9128.331887	9133.972227	2	65.8588	65.8978	2.33667	65.8978	40532.9	23680.9	47356.1	5	6	2	0.944253	0.998037976424836	23680.9;16852	0;0;545.937;2854.6;4399.13;6029.85;5644.94;5817.11;4411.7;3569.31;3717.5;2208.24;848.647;485.971
277	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	9049.314827	9054.906488	2	65.8588	65.8978	2.33667	65.8588	24820	14022.8	28998.1	6	7	2	0.927454	0.94753919299769	10797.2;14022.8	0;0;2018.16;696.224;3772.53;3458.01;2940.03;3878.18;2539.22;2824.57;844.601;0;836.999;0;1011.44
278	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8669.177726	8674.560892	3	65.1795	65.302	7.35074	65.302	4.24898e+06	1.52216e+06	1.06023e+07	6	8	3	0.931974	0.999987052449474	814884;2.03434e+06;1.39976e+06	0;22162.7;103409;266798;456445;609199;683455;651346;520529;364890;249999;152980;87862.2;52945.8;26955.5
279	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8370.050189	8375.231910	4	65.1795	65.4076	13.6875	65.1795	506143	236233	1.61342e+06	5	8	4	0.943387	0.999999475694059	51100.3;239198;192325;23519.6	0;0;15684.3;39729.4;62433.2;84223.7;84923.2;76197.9;58745.7;34885;25013;14370.4;6075.63;3236.01;625.709
280	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8652.171759	8657.543062	2	65.1795	65.302	7.35074	65.1795	375321	194174	1.37944e+06	6	7	2	0.986723	0.968573474512661	73167;302154	1865.71;7207.24;18958.7;37675.2;54205.2;54614.4;59442.2;50749.7;36945.4;22732;14872.8;10938.3;6190.98;788.567
281	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	7872.765438	7877.668492	4	65.1795	65.4076	13.6875	65.2029	192683	105234	541211	5	7	3	0.941279	0.999998390675182	7835.7;105074;79772.9	0;1636.53;6883.81;17801.3;27859.1;33585.8;33837.1;27665;19704.8;12207.8;7667.37;3833.98
282	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8159.914657	8164.971233	4	65.1795	65.4076	13.6875	65.2029	214896	88695.8	571216	5	8	4	0.941498	0.999999061655636	16031;86262.9;80295;32307	0;1223.02;6795.79;17114.8;29898.8;35149.1;37985.3;32445.2;22252;15034.5;8876.92;4377.59;3309.43;433.426
283	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8501.091618	8506.373514	3	65.1795	65.302	7.35074	65.1795	172065	69946.9	386882	5	8	4	0.921017	0.999940450525209	14342.4;64119;63970.9;29632.5	0;0;1431.41;12486.3;21516.2;23985.1;30993.1;26028.1;22460.8;12984.2;11138;5208.72;812.725;2327.34;692.922
284	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8816.252904	8821.715997	3	65.1795	65.302	7.35074	65.2029	135509	56017.8	329115	6	9	4	0.937042	0.999958181032028	29689.7;49801.8;53250.7;2767.12	0;0;3132.06;8603.98;14730.5;19945.4;21878.2;20723.8;16914.4;13471.6;5816.78;4892.91;4226.3;714.417;459.104
285	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	8072.883945	8077.900948	3	65.1795	65.4076	13.6875	65.2029	82158.8	46977.9	396121	6	8	3	0.938	0.99852845085345	36672;39499.9;5986.92	0;1264.13;1035.94;7849.81;11620.3;16755.9;12046.2;12961.9;8026.33;5862.4;3460.96;1274.9
286	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	2	7985.843920	7990.807519	3	65.1795	65.4076	13.6875	65.2029	72676.4	38487.1	379451	6	8	3	0.956105	0.99835273670927	34019.8;33018.1;5638.47	0;0;1866.1;7554.12;13094;13305.2;11850.9;9904.65;7071.74;4070.12;2973;567.74;418.811
