Index	FileName	ScanNum	FeatureIndex	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	
64	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	9130.964998	9125.324658	2.32287e+07	6	8	42	0.917638	0.936221	1	95.8502	61.596	0.728332	7	1304.626953	1306.484619	0.857823	0.857823
65	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	65.086594	43	9131.968546	9126.328206	1.24822e+07	6	7	28	0.952004	0.950586	1	132.186	81.2525	0.733131	7	1304.769897	1306.627197	0.927776	0.927776
66	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	6	65.086594	43	9148.963986	9143.309470	8.50475e+06	6	7	28	0.971877	0.972794	1	239.355	153.859	1.01948	7	1307.198120	1309.053467	0.953913	1.000000
67	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	21	65.086594	43	9169.960363	9164.294117	4.70502e+06	6	8	39	0.875231	0.912627	1	52.7891	33.6377	1.12539	6	1528.558228	1530.564697	0.679172	0.999971
68	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	33	65.086594	43	9170.971333	9165.305087	3.14538e+06	6	7	27	0.903285	0.922258	1	74.0882	49.7092	0.840312	6	1528.558228	1530.727661	0.805980	0.947911
69	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	3	65.086594	43	9209.002832	9203.324863	6.12796e+07	6	9	53	0.994079	0.996098	1	291.208	1113.65	0.559023	7	1315.769531	1317.629028	0.970257	1.000000
70	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	12	65.086594	43	9230.000747	9224.306642	1.1894e+07	6	8	41	0.950886	0.958027	1	217.767	97.7653	1.15385	7	1318.769043	1320.623169	0.929715	0.999796
71	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	11	65.086594	43	9247.986453	9242.280640	8.53105e+06	6	8	40	0.954876	0.956648	1	216.296	93.2278	0.889567	8	1156.417969	1157.918945	0.937525	1.000000
72	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	37	65.086594	43	9248.994104	9243.288291	2.26208e+06	6	6	14	0.899198	0.899198	1	37.0053	37.0053	1.02291	6	1541.556152	1543.723389	0.753653	0.999821
73	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	27	65.086594	43	9267.980508	9262.274695	3.09387e+06	6	8	34	0.868749	0.879237	1	26.431	29.8461	1.60932	7	1324.186523	1326.046997	0.578186	0.999401
74	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	28	65.086594	43	9269.000432	9263.282917	1.03528e+06	6	6	12	0.90315	0.90315	1	23.8149	23.8149	1.4017	6	1544.890869	1546.892090	0.741115	0.959123
75	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	7	65.086594	43	9307.043492	9301.300941	9.29525e+06	6	7	26	0.994801	0.992333	1	1005.44	551.841	0.696162	7	1329.911133	1331.625366	0.979124	1.000000
